epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,969.018,0.92972,1.33035,1.16178,0.65431,0.52432,0.57186,0.40858,0.97392,1.07056,1.15645,0.00333229,0.00333229,0.00333229
2,1904.04,1.06856,1.37343,1.25925,0.56918,0.43443,0.45033,0.30574,1.10254,1.31061,1.26708,0.00653364,0.00653364,0.00653364
3,2817.77,1.21714,1.70382,1.37174,0.49145,0.36393,0.35459,0.23245,1.20061,1.53971,1.34868,0.009603,0.009603,0.009603
4,3743.96,1.25471,1.80522,1.4117,0.53717,0.38872,0.40122,0.26856,1.14902,1.40373,1.30967,0.009406,0.009406,0.009406
5,4677.16,1.19419,1.65498,1.37061,0.57071,0.43061,0.45001,0.31098,1.08522,1.28511,1.26594,0.009208,0.009208,0.009208
6,5588.94,1.15678,1.55421,1.34277,0.56785,0.45409,0.4807,0.33526,1.04983,1.21451,1.24214,0.00901,0.00901,0.00901
7,6538.58,1.12903,1.48751,1.3231,0.60349,0.47856,0.50681,0.35645,1.02715,1.15861,1.22812,0.008812,0.008812,0.008812
8,7467.68,1.10752,1.43498,1.30677,0.61715,0.49037,0.53089,0.37493,1.00503,1.11642,1.20919,0.008614,0.008614,0.008614
9,8403.53,1.09274,1.39407,1.29784,0.62156,0.50542,0.54367,0.387,0.98976,1.08724,1.19706,0.008416,0.008416,0.008416
10,9348.44,1.08006,1.35989,1.28669,0.64158,0.5162,0.55807,0.39936,0.97627,1.05795,1.18609,0.008218,0.008218,0.008218
11,10289.5,1.06661,1.32797,1.27696,0.64897,0.53153,0.57418,0.41282,0.96681,1.03485,1.17939,0.00802,0.00802,0.00802
12,11246.4,1.06,1.30133,1.27131,0.64214,0.5332,0.57998,0.41871,0.95815,1.01518,1.17321,0.007822,0.007822,0.007822
13,12166.4,1.05105,1.28231,1.26319,0.65009,0.53864,0.58867,0.42611,0.95,1.00222,1.16903,0.007624,0.007624,0.007624
14,13108.3,1.04099,1.26346,1.25915,0.66343,0.54417,0.5956,0.432,0.94324,0.98971,1.16563,0.007426,0.007426,0.007426
15,14058,1.03274,1.24775,1.25321,0.66331,0.55125,0.60406,0.43927,0.93826,0.97938,1.16235,0.007228,0.007228,0.007228
