                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97916,                 2.4612,                  1.221,                 0.6322,                0.53042,                0.55227,                0.40275,                 0.9333,                 1.2317,                 1.1482,             3.9099e-05,             3.9099e-05,             3.9099e-05
                      2,                0.99646,                  1.386,                  1.231,                 0.6328,                0.49039,                0.53253,                0.38055,                0.98339,                 1.2687,                 1.1951,             7.8044e-05,             7.8044e-05,             7.8044e-05
                      3,                 1.0577,                 1.4259,                 1.2749,                0.61694,                 0.4774,                0.52163,                0.36713,                 1.0429,                 1.3067,                 1.2494,              0.0001166,              0.0001166,              0.0001166
                      4,                 1.0663,                 1.4073,                 1.2883,                0.61666,                0.48581,                0.51757,                0.36643,                 1.0234,                 1.2737,                 1.2447,             0.00011625,             0.00011625,             0.00011625
                      5,                 1.0471,                 1.3341,                 1.2784,                0.64543,                0.51699,                0.55664,                0.39773,                  1.023,                 1.1812,                 1.2473,             0.00011566,             0.00011566,             0.00011566
                      6,                 1.0329,                    1.3,                 1.2781,                0.60529,                0.52382,                0.55917,                0.39563,                 1.0195,                 1.2037,                 1.2331,             0.00011508,             0.00011508,             0.00011508
                      7,                 1.0241,                 1.2265,                 1.2625,                0.65785,                0.55988,                0.59708,                0.43158,                0.98201,                  1.084,                 1.2125,              0.0001145,              0.0001145,              0.0001145
                      8,                 1.0081,                 1.1891,                 1.2538,                0.68244,                0.54223,                0.59811,                0.43953,                0.97211,                  1.099,                 1.1948,             0.00011391,             0.00011391,             0.00011391
                      9,                0.98573,                 1.1355,                 1.2338,                0.69337,                0.55866,                0.62914,                0.46133,                0.95974,                 1.0752,                 1.1901,             0.00011333,             0.00011333,             0.00011333
                     10,                 0.9805,                 1.1129,                 1.2264,                0.71583,                0.59744,                0.66089,                0.48249,                0.94575,                 0.9886,                 1.1838,             0.00011274,             0.00011274,             0.00011274
                     11,                0.96209,                 1.0662,                 1.2196,                0.70634,                0.60635,                 0.6608,                0.48957,                0.93196,                0.98622,                 1.1816,             0.00011216,             0.00011216,             0.00011216
                     12,                0.95745,                 1.0446,                 1.2161,                 0.7283,                 0.6145,                0.67405,                0.50309,                0.92694,                0.94259,                 1.1674,             0.00011157,             0.00011157,             0.00011157
                     13,                0.92922,                  1.005,                 1.1968,                0.69651,                0.63608,                0.67733,                0.50783,                0.91672,                0.95164,                 1.1581,             0.00011099,             0.00011099,             0.00011099
                     14,                0.93299,                 1.0128,                 1.2008,                0.77356,                0.60439,                0.69077,                0.52156,                0.91019,                0.93221,                 1.1597,             0.00011041,             0.00011041,             0.00011041
                     15,                0.93077,                0.98506,                 1.2002,                0.71305,                0.64678,                0.70107,                0.52442,                0.90925,                 0.9144,                 1.1548,             0.00010982,             0.00010982,             0.00010982
