                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0012,                 4.9302,                 3.4144,                 0.4433,                0.01404,                0.00852,                0.00358,                 2.2812,                 3.6671,                 2.5536,              0.0033327,              0.0033327,              0.0033327
                      2,                 1.9667,                 3.6532,                 2.1677,                0.27031,                0.08848,                0.05251,                0.02824,                 1.8255,                 2.9156,                 2.0075,              0.0066495,              0.0066495,              0.0066495
                      3,                 1.7704,                  3.145,                 1.9199,                0.30049,                0.14609,                0.09904,                0.05667,                 1.6867,                  2.575,                  1.825,              0.0099499,              0.0099499,              0.0099499
                      4,                 1.6786,                 2.8528,                 1.7994,                0.30582,                0.18554,                0.14345,                0.08576,                 1.5855,                 2.3307,                 1.7052,              0.0099258,              0.0099258,              0.0099258
                      5,                 1.6127,                 2.6501,                  1.716,                 0.3451,                0.21757,                0.17835,                0.10892,                 1.5275,                 2.1814,                  1.631,               0.009901,               0.009901,               0.009901
                      6,                 1.5647,                 2.5198,                 1.6669,                0.35923,                0.23818,                0.20777,                 0.1288,                 1.4816,                 2.0718,                 1.5849,              0.0098763,              0.0098763,              0.0098763
                      7,                 1.5331,                 2.4212,                 1.6262,                 0.3748,                0.25618,                0.22857,                0.14332,                 1.4518,                 1.9918,                 1.5493,              0.0098515,              0.0098515,              0.0098515
                      8,                 1.5119,                 2.3533,                 1.6014,                 0.3955,                 0.2683,                0.24501,                0.15517,                 1.4285,                  1.933,                 1.5233,              0.0098268,              0.0098268,              0.0098268
                      9,                 1.4929,                 2.2916,                 1.5789,                0.41753,                0.27851,                0.25951,                 0.1648,                 1.4108,                 1.8926,                 1.5039,               0.009802,               0.009802,               0.009802
                     10,                 1.4765,                 2.2417,                 1.5584,                0.41639,                0.28802,                0.26915,                0.17203,                 1.3982,                 1.8623,                 1.4894,              0.0097773,              0.0097773,              0.0097773
                     11,                 1.4663,                 2.2023,                 1.5443,                0.42479,                0.29148,                0.27628,                0.17759,                 1.3883,                 1.8394,                 1.4782,              0.0097525,              0.0097525,              0.0097525
                     12,                 1.4557,                 2.1691,                 1.5301,                0.43104,                0.29621,                  0.282,                0.18166,                 1.3808,                 1.8218,                 1.4689,              0.0097278,              0.0097278,              0.0097278
                     13,                 1.4446,                 2.1421,                  1.521,                0.43328,                0.29962,                0.28659,                0.18527,                 1.3743,                 1.8082,                 1.4615,               0.009703,               0.009703,               0.009703
                     14,                 1.4367,                 2.1193,                 1.5094,                0.43833,                0.30238,                0.29117,                0.18858,                 1.3683,                 1.7963,                 1.4544,              0.0096783,              0.0096783,              0.0096783
                     15,                 1.4316,                  2.096,                 1.4985,                0.44674,                0.30392,                0.29516,                0.19153,                 1.3627,                 1.7863,                 1.4477,              0.0096535,              0.0096535,              0.0096535
